name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	NLX-microwires-132	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-132	hippocampus_left
e001	NLX-microwires-133	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-133	hippocampus_left
e002	NLX-microwires-135	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-135	hippocampus_left
e003	NLX-microwires-138	-23.87	-5.52	-24.23	n/a	n/a	NLX-microwires-138	amygdala_left
e004	NLX-microwires-139	-23.87	-5.52	-24.23	n/a	n/a	NLX-microwires-139	amygdala_left
e005	NLX-microwires-140	-23.87	-5.52	-24.23	n/a	n/a	NLX-microwires-140	amygdala_left
e006	NLX-microwires-143	-23.87	-5.52	-24.23	n/a	n/a	NLX-microwires-143	amygdala_left
e007	NLX-microwires-163	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-163	hippocampus_left
e008	NLX-microwires-164	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-164	hippocampus_left
e009	NLX-microwires-165	-22.0	-22.81	-20.9	n/a	n/a	NLX-microwires-165	hippocampus_left
e010	NLX-microwires-171	-18.57	-38.31	-16.98	n/a	n/a	NLX-microwires-171	parahippocampus_left
e011	NLX-microwires-172	-18.57	-38.31	-16.98	n/a	n/a	NLX-microwires-172	parahippocampus_left
e012	NLX-microwires-174	-18.57	-38.31	-16.98	n/a	n/a	NLX-microwires-174	parahippocampus_left
e013	NLX-microwires-176	-18.57	-38.31	-16.98	n/a	n/a	NLX-microwires-176	parahippocampus_left
e014	NLX-microwires-178	27.78	-35.81	-12.39	n/a	n/a	NLX-microwires-178	hippocampus_right
e015	NLX-microwires-181	27.78	-35.81	-12.39	n/a	n/a	NLX-microwires-181	hippocampus_right
e016	NLX-microwires-183	27.78	-35.81	-12.39	n/a	n/a	NLX-microwires-183	hippocampus_right
e017	NLX-microwires-184	27.78	-35.81	-12.39	n/a	n/a	NLX-microwires-184	hippocampus_right
e018	NLX-microwires-186	27.32	-3.44	-24.17	n/a	n/a	NLX-microwires-186	amygdala_right
e019	NLX-microwires-187	27.32	-3.44	-24.17	n/a	n/a	NLX-microwires-187	amygdala_right
e020	NLX-microwires-188	27.32	-3.44	-24.17	n/a	n/a	NLX-microwires-188	amygdala_right
e021	NLX-microwires-190	27.32	-3.44	-24.17	n/a	n/a	NLX-microwires-190	amygdala_right
e022	NLX-microwires-219	23.89	-28.71	-21.82	n/a	n/a	NLX-microwires-219	parahippocampus_right
e023	NLX-microwires-224	23.89	-28.71	-21.82	n/a	n/a	NLX-microwires-224	parahippocampus_right
