name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	NLX-microwires-139	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-139	hippocampus_left
e001	NLX-microwires-140	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-140	hippocampus_left
e002	NLX-microwires-143	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-143	hippocampus_left
e003	NLX-microwires-144	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-144	hippocampus_left
e004	NLX-microwires-146	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-146	amygdala_left
e005	NLX-microwires-147	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-147	amygdala_left
e006	NLX-microwires-148	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-148	amygdala_left
e007	NLX-microwires-149	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-149	amygdala_left
e008	NLX-microwires-151	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-151	amygdala_left
e009	NLX-microwires-152	-21.99	-8.21	-21.55	n/a	n/a	NLX-microwires-152	amygdala_left
e010	NLX-microwires-163	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-163	hippocampus_left
e011	NLX-microwires-164	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-164	hippocampus_left
e012	NLX-microwires-167	-26.63	-21.1	-16.32	n/a	n/a	NLX-microwires-167	hippocampus_left
e013	NLX-microwires-178	24.8	-11.73	-15.77	n/a	n/a	NLX-microwires-178	hippocampus_right
e014	NLX-microwires-179	24.8	-11.73	-15.77	n/a	n/a	NLX-microwires-179	hippocampus_right
e015	NLX-microwires-183	24.8	-11.73	-15.77	n/a	n/a	NLX-microwires-183	hippocampus_right
e016	NLX-microwires-186	19.93	-3.77	-16.14	n/a	n/a	NLX-microwires-186	amygdala_right
e017	NLX-microwires-188	19.93	-3.77	-16.14	n/a	n/a	NLX-microwires-188	amygdala_right
e018	NLX-microwires-191	19.93	-3.77	-16.14	n/a	n/a	NLX-microwires-191	amygdala_right
e019	NLX-microwires-192	19.93	-3.77	-16.14	n/a	n/a	NLX-microwires-192	amygdala_right
